 구분 , 위치(구역명) , 운동기구 기종명 , 운동기구 수량 , 관리번호, 관리기관 
 남산공원(회현) , 잠두체육시설 , 레그익스텐션 ,1, 남삼회현-2(잠두체육)-10 , 중부공원녹지사업소 
 남산공원(회현) , 잠두체육시설 , 등 지압기 ,1, 남삼회현-2(잠두체육)-11 , 중부공원녹지사업소 
 남산공원(회현) , 잠두체육시설 , 워밍암 ,1, 남삼회현-2(잠두체육)-12 , 중부공원녹지사업소 
 남산공원(회현) , 잠두체육시설 , 워밍암 ,1, 남삼회현-2(잠두체육)-13 , 중부공원녹지사업소 
 남산공원(회현) , 잠두체육시설 , 다리근육풀기 ,1, 남삼회현-2(잠두체육)-14 , 중부공원녹지사업소 
 남산공원(회현) , 잠두체육시설 , 줄당겨들기 ,1, 남삼회현-2(잠두체육)-15 , 중부공원녹지사업소 
 남산공원(회현) , 잠두체육시설 , 허리돌이기 ,1, 남삼회현-2(잠두체육)-16 , 중부공원녹지사업소 
 남산공원(회현) , 잠두체육시설 , 역기 ,1, 남삼회현-2(잠두체육)-17 , 중부공원녹지사업소 
 남산공원(회현) , 후암배드민턴장 , 허리돌이기 ,1, 남삼회현-3(후암배드민턴장)-1 , 중부공원녹지사업소 
 남산공원(회현) , 용암케이트블장 , 철봉(3단) ,1, 남삼회현-4(용암게이트볼장)-1 , 중부공원녹지사업소 
 남산공원(회현) , 용암케이트블장 , 팔굽혀펴기 ,1, 남삼회현-4(용암게이트볼장)-2 , 중부공원녹지사업소 
 남산공원(회현) , 용암케이트블장 , 온몸근육풀기 ,1, 남삼회현-4(용암게이트볼장)-3 , 중부공원녹지사업소 
 남산공원(회현) , 용암케이트블장 , 암컬 ,1, 남삼회현-4(용암게이트볼장)-4 , 중부공원녹지사업소 
 남산공원(회현) , 용암케이트블장 , 양팔 줄당기기 ,1, 남삼회현-4(용암게이트볼장)-5 , 중부공원녹지사업소 
 남산공원(회현) , 용암케이트블장 , 온몸근육풀기 ,1, 남삼회현-4(용암게이트볼장)-6 , 중부공원녹지사업소 
 남산공원(회현) , 용암케이트블장 , 스탱딩레그컬 ,1, 남삼회현-4(용암게이트볼장)-7 , 중부공원녹지사업소 
 남산공원(회현) , 용암케이트블장 , 버터플라이 ,1, 남삼회현-4(용암게이트볼장)-8 , 중부공원녹지사업소 
 남산공원(회현) , 용암케이트블장 , 숄더프레스머신 ,1, 남삼회현-4(용암게이트볼장)-9 , 중부공원녹지사업소 
 남산공원(회현) , 용암케이트블장 , 크로스 컨트리 ,1, 남삼회현-4(용암게이트볼장)-10 , 중부공원녹지사업소 
 남산공원(회현) , 용암배드민턴장 , 크로스 컨트리 ,1, 남삼회현-5(용암배드민턴장)-1 , 중부공원녹지사업소 
 남산공원(회현) , 용암배드민턴장 , 상체근육풀기 ,1, 남삼회현-5(용암배드민턴장)-2 , 중부공원녹지사업소 
 남산공원(회현) , 용암배드민턴장 , 오금펴기+줄당기기 ,1, 남삼회현-5(용암배드민턴장)-3 , 중부공원녹지사업소 
 남산공원(회현) , 용암배드민턴장 , 허리돌이기 ,1, 남삼회현-5(용암배드민턴장)-4 , 중부공원녹지사업소 
 남산공원(회현) , 용암배드민턴장 , 웟몸 일으키기 ,1, 남삼회현-5(용암배드민턴장)-5 , 중부공원녹지사업소 
 남산공원(회현) , 용암배드민턴장 , 등 지압기 ,1, 남삼회현-5(용암배드민턴장)-6 , 중부공원녹지사업소 
 남산공원(회현) , 용암배드민턴장 , 롤링웨이스트 ,1, 남삼회현-5(용암배드민턴장)-7 , 중부공원녹지사업소 
 남산공원(회현) , 용암천 , 역기 ,1, 남삼회현-6(용암천)-1 , 중부공원녹지사업소 
 남산공원(회현) , 용암천 , 허리돌이기 ,1, 남삼회현-6(용암천)-2 , 중부공원녹지사업소 
 남산공원(회현) , 용암천 , 크로스 컨트리 ,1, 남삼회현-6(용암천)-3 , 중부공원녹지사업소 
 남산공원(회현) , 용암천 , 체어 웨이트 ,1, 남삼회현-6(용암천)-4 , 중부공원녹지사업소 
 남산공원(회현) , 용암천 , 클링웨이스트 ,1, 남삼회현-6(용암천)-5 , 중부공원녹지사업소 
 남산공원(회현) , 용암천 , 레그프레스 ,1, 남삼회현-6(용암천)-6 , 중부공원녹지사업소 
 남산공원(회현) , 용암천 , 워밍암 ,1, 남삼회현-6(용암천)-7 , 중부공원녹지사업소 
 남산공원(회현) , 용암천 , 입식트윈트위스트 ,1, 남삼회현-6(용암천)-8 , 중부공원녹지사업소 
 남산공원(회현) , 용암천 , 스트레칭울러 ,1, 남삼회현-6(용암천)-9 , 중부공원녹지사업소 
 남산공원(회현) , 용암천 , 스텝사이클 ,1, 남삼회현-6(용암천)-10 , 중부공원녹지사업소 
 남산공원(회현) , 용암천 , 평행봉 ,1, 남삼회현-6(용암천)-11 , 중부공원녹지사업소 
 남산공원(회현) , 용암천 , 철봉(1단) ,1, 남삼회현-6(용암천)-12 , 중부공원녹지사업소 
 남산공원(회현) , 용암천 , 레그 스트레칭 ,1, 남삼회현-6(용암천)-13 , 중부공원녹지사업소 
 남산공원(회현) , 기억의 터 위 , 허리돌이기 ,1, 남삼회현-7(기억의터)-1 , 중부공원녹지사업소 
 남산공원(회현) , 기억의 터 위 , 윗몸일으키기 ,1, 남삼회현-7(기억의터)-2 , 중부공원녹지사업소 
 남산공원(회현) , 기억의 터 위 , 스텝사이클 ,1, 남삼회현-7(기억의터)-3 , 중부공원녹지사업소 
 남산공원(회현) , 기억의 터 위 , 철봉(3단) ,1, 남삼회현-7(기억의터)-4 , 중부공원녹지사업소 
 남산공원(회현) , 기억의 터 위 , 체어 웨이트 ,1, 남삼회현-7(기억의터)-5 , 중부공원녹지사업소 
 남산공원(회현) , 기억의 터 위 , 오금펴기 ,1, 남삼회현-7(기억의터)-6 , 중부공원녹지사업소 
 남산공원(회현) , 기억의 터 위 , 스텝사이클 ,1, 남삼회현-7(기억의터)-7 , 중부공원녹지사업소 
 남산공원(회현) , 기억의 터 위 , 철봉(3단) ,1, 남삼회현-7(기억의터)-8 , 중부공원녹지사업소 
 남산공원(회현) , 기억의 터 위 , 역기 ,1, 남삼회현-7(기억의터)-9 , 중부공원녹지사업소 
 남산공원(회현) , 기억의 터 위 , 평행봉 ,1, 남삼회현-7(기억의터)-10 , 중부공원녹지사업소 
 남산공원(회현) , 기억의 터 위 , 철봉(3단) ,1, 남삼회현-7(기억의터)-11 , 중부공원녹지사업소 
 남산공원(회현) , 기억의 터 위 , 허리돌이기 ,1, 남삼회현-7(기억의터)-12 , 중부공원녹지사업소 
 남산공원(팔각) , 독립군상 체육회 , 하체흔들기 ,1, 남산팔각-1(독립군상)-1 , 중부공원녹지사업소 
 남산공원(팔각) , 독립군상 체육회 , 실외걷기 ,1, 남산팔각-1(독립군상)-3 , 중부공원녹지사업소 
 남산공원(팔각) , 독립군상 체육회 , 위몸 위으키기 ,1, 남산팔각-1(독립군상)-4 , 중부공원녹지사업소 
 남산공원(팔각) , 독립군상 체육회 , 허리 등 안마기 ,1, 남산팔각-1(독립군상)-5 , 중부공원녹지사업소 
 남산공원(팔각) , 독립군상 체육회 , 평행봉 ,1, 남산팔각-1(독립군상)-6 , 중부공원녹지사업소 
 남산공원(팔각) , 독립군상 체육회 , 다리펴기 ,1, 남산팔각-1(독립군상)-7 , 중부공원녹지사업소 
 남산공원(팔각) , 독립군상 체육회 , 철봉 ,1, 남산팔각-1(독립군상)-8 , 중부공원녹지사업소 
 남산공원(팔각) , 독립군상 체육회 , 허리돌리기+달리기 ,1, 남산팔각-1(독립군상)-9 , 중부공원녹지사업소 
 남산공원(팔각) , 독립군상 체육회 , 허리돌리기 ,1, 남산팔각-1(독립군상)-10 , 중부공원녹지사업소 
 남산공원(팔각) , 독립군상 체육회 , 역기 ,1, 남산팔각-1(독립군상)-11 , 중부공원녹지사업소 
 남산공원(팔각) , 독립군상 체육회 , 오금펴기+줄당기기 ,1, 남산팔각-1(독립군상)-12 , 중부공원녹지사업소 
 남산공원(팔각) , 독립군상 체육회 , 위몸 위으키기 ,1, 남산팔각-1(독립군상)-13 , 중부공원녹지사업소 
 남산공원(팔각) , 독립군상 체육회 , 올리는 역기 ,1, 남산팔각-1(독립군상)-14 , 중부공원녹지사업소 
 남산공원(팔각) , 독립군상 체육회 , 올리는 역기 ,1, 남산팔각-1(독립군상)-15 , 중부공원녹지사업소 
 남산공원(팔각) , 독립군상 체육회 , 안마 ,1, 남산팔각-1(독립군상)-16 , 중부공원녹지사업소 
 남산공원(팔각) , 독립군상 체육회 , 안마 ,1, 남산팔각-1(독립군상)-17 , 중부공원녹지사업소 
 남산공원(팔각) , 감로천 체육회 , 공중걷기 ,1, 남산팔각-2(감로천)-1 , 중부공원녹지사업소 
 남산공원(팔각) , 감로천 체육회 , 허리돌리기 ,1, 남산팔각-2(감로천)-2 , 중부공원녹지사업소 
 남산공원(팔각) , 감로천 체육회 , 위몸 위으키기 ,1, 남산팔각-2(감로천)-3 , 중부공원녹지사업소 
 남산공원(팔각) , 감로천 체육회 , 상체근육풀기 ,1, 남산팔각-2(감로천)-4 , 중부공원녹지사업소 
 남산공원(팔각) , 감로천 체육회 , 등.허리지압기 ,1, 남산팔각-2(감로천)-5 , 중부공원녹지사업소 
 남산공원(팔각) , 감로천 체육회 , 역기 ,1, 남산팔각-2(감로천)-6 , 중부공원녹지사업소 
 남산공원(팔각) , 감로천 체육회 , 역기 ,1, 남산팔각-2(감로천)-7 , 중부공원녹지사업소 
 남산공원(팔각) , 감로천 체육회 , 철봉 ,1, 남산팔각-2(감로천)-8 , 중부공원녹지사업소 
 남산공원(팔각) , 감로천 체육회 , 철봉 ,1, 남산팔각-2(감로천)-9 , 중부공원녹지사업소 
 남산공원(팔각) , 감로천 체육회 , 평행봉 ,1, 남산팔각-2(감로천)-10 , 중부공원녹지사업소 
 남산공원(팔각) , 감로천 체육회 , 평행봉 ,1, 남산팔각-2(감로천)-11 , 중부공원녹지사업소 
 남산공원(팔각) , 감로천 체육회 , 스텝사이클 ,1, 남산팔각-2(감로천)-12 , 중부공원녹지사업소 
 남산공원(팔각) , 감로천 체육회 , 규형잡기 ,1, 남산팔각-2(감로천)-13 , 중부공원녹지사업소 
 남산공원(팔각) , 남산산악회 , 평행봉 ,1, 남산팔각-3(남산산악회)-1 , 중부공원녹지사업소 
 남산공원(팔각) , 남산산악회 , 평행봉 ,1, 남산팔각-3(남산산악회)-2 , 중부공원녹지사업소 
 남산공원(팔각) , 남산산악회 , 철봉 ,1, 남산팔각-3(남산산악회)-3 , 중부공원녹지사업소 
 남산공원(팔각) , 남산산악회 , 역기 ,1, 남산팔각-3(남산산악회)-4 , 중부공원녹지사업소 
 남산공원(팔각) , 남산산악회 , 역기 ,1, 남산팔각-3(남산산악회)-5 , 중부공원녹지사업소 
 남산공원(팔각) , 남산산악회 , 역기 ,1, 남산팔각-3(남산산악회)-6 , 중부공원녹지사업소 
 남산공원(팔각) , 남산산악회 , 역기 ,1, 남산팔각-3(남산산악회)-7 , 중부공원녹지사업소 
 남산공원(팔각) , 남산산악회 , 허리돌리기 ,1, 남산팔각-3(남산산악회)-8 , 중부공원녹지사업소 
 남산공원(팔각) , 남산산악회 , 다리뼏기 ,1, 남산팔각-3(남산산악회)-9 , 중부공원녹지사업소 
 남산공원(팔각) , 남산산악회 , 허리.등안마기 ,1, 남산팔각-3(남산산악회)-10 , 중부공원녹지사업소 
 남산공원(팔각) , 남산산악회 , 위몸 위으키기 ,1, 남산팔각-3(남산산악회)-11 , 중부공원녹지사업소 
 남산공원(팔각) , 남산체육회 , 철봉 ,1, 남산팔각-4(남산체육회)-1 , 중부공원녹지사업소 
 남산공원(팔각) , 남산체육회 , 평행봉 ,1, 남산팔각-4(남산체육회)-2 , 중부공원녹지사업소 
 남산공원(팔각) , 남산체육회 , 역기 ,1, 남산팔각-4(남산체육회)-3 , 중부공원녹지사업소 
 남산공원(팔각) , 남산체육회 , 위몸 위으키기 ,1, 남산팔각-4(남산체육회)-4 , 중부공원녹지사업소 
 남산공원(팔각) , 남산체육회 , 온몸역기내리기 ,1, 남산팔각-4(남산체육회)-5 , 중부공원녹지사업소 
 남산공원(팔각) , 남산체육회 , 옆파도타기 ,1, 남산팔각-4(남산체육회)-6 , 중부공원녹지사업소 
 남산공원(팔각) , 남산체육회 , 타원형걷기 ,1, 남산팔각-4(남산체육회)-7 , 중부공원녹지사업소 
 남산공원(팔각) , 남산체육회 , 타원형걷기 ,1, 남산팔각-4(남산체육회)-8 , 중부공원녹지사업소 
 남산공원(팔각) , 남산체육회 , 허리돌리기 ,1, 남산팔각-4(남산체육회)-8 , 중부공원녹지사업소 
 남산공원(팔각) , 중앙계단 , 허리돌리기 ,1, 남산팔각-5(중앙계단)-1 , 중부공원녹지사업소 
 남산공원(한남) , 수복천 , 허리돌리기+달리기 ,1, 남산한남-1(수복천)-1 , 중부공원녹지사업소 
 남산공원(한남) , 수복천 , 철봉(3단) ,1, 남산한남-1(수복천)-2 , 중부공원녹지사업소 
 남산공원(한남) , 수복천 , 팔돌리기 ,1, 남산한남-1(수복천)-3 , 중부공원녹지사업소 
 남산공원(한남) , 수복천 , 등허리 지압기 ,1, 남산한남-1(수복천)-4 , 중부공원녹지사업소 
 남산공원(한남) , 수복천 , 온몸 노젓기 ,1, 남산한남-1(수복천)-5 , 중부공원녹지사업소 
 남산공원(한남) , 수복천 , 다리 뻗치기 ,1, 남산한남-1(수복천)-6 , 중부공원녹지사업소 
 남산공원(한남) , 수복천 , 크로스 컨트리 ,1, 남산한남-1(수복천)-7 , 중부공원녹지사업소 
 남산공원(한남) , 수복천 , 역기 올리기 ,1, 남산한남-1(수복천)-8 , 중부공원녹지사업소 
 남산공원(한남) , 수복천 , 벤치 프레스 ,1, 남산한남-1(수복천)-9 , 중부공원녹지사업소 
 남산공원(한남) , 수복천 , 발목걸어 거꾸리 ,1, 남산한남-1(수복천)-10 , 중부공원녹지사업소 
 남산공원(한남) , 과수원서측 , 등허리 지압기 ,1, 남산한남-2(과수원서측)-1 , 중부공원녹지사업소 
 남산공원(한남) , 과수원서측 , 다리뻗치기 ,1, 남산한남-2(과수원서측)-2 , 중부공원녹지사업소 
 남산공원(한남) , 과수원서측 , 온몸 역기 내리기 ,1, 남산한남-2(과수원서측)-3 , 중부공원녹지사업소 
 남산공원(한남) , 과수원서측 , 파도타기 ,1, 남산한남-2(과수원서측)-4 , 중부공원녹지사업소 
 남산공원(한남) , 과수원서측 , 윗몸 일으키기 ,1, 남산한남-2(과수원서측)-5 , 중부공원녹지사업소 
 남산공원(한남) , 과수원서측 , 온몸 파도타기 ,1, 남산한남-2(과수원서측)-6 , 중부공원녹지사업소 
 남산공원(한남) , 과수원서측 , 온몸 근육풀기 ,1, 남산한남-2(과수원서측)-7 , 중부공원녹지사업소 
 남산공원(한남) , 과수원서측 , 하체 흔들기 ,1, 남산한남-2(과수원서측)-8 , 중부공원녹지사업소 
 남산공원(한남) , 과수원서측 , 공중 걷기 ,1, 남산한남-2(과수원서측)-9 , 중부공원녹지사업소 
 남산공원(한남) , 과수원서측 , 달리기 운동 ,1, 남산한남-2(과수원서측)-10 , 중부공원녹지사업소 
 남산공원(한남) , 과수원서측 , 평행봉 ,1, 남산한남-2(과수원서측)-11 , 중부공원녹지사업소 
 남산공원(한남) , 남산약수터 , 허리풀기 ,1, 남산한남-3(남산약수터)-1 , 중부공원녹지사업소 
 남산공원(한남) , 남산약수터 , 윗몸 일으키기 ,1, 남산한남-3(남산약수터)-2 , 중부공원녹지사업소 
 남산공원(한남) , 남산약수터 , 벤치 프레스 ,1, 남산한남-3(남산약수터)-3 , 중부공원녹지사업소 
 남산공원(한남) , 남산약수터 , 온몸 근육풀기 ,1, 남산한남-3(남산약수터)-4 , 중부공원녹지사업소 
 남산공원(한남) , 남산약수터 , 레그 프레스 ,1, 남산한남-3(남산약수터)-5 , 중부공원녹지사업소 
 남산공원(한남) , 남산약수터 , 트리플 트위스트 ,1, 남산한남-3(남산약수터)-6 , 중부공원녹지사업소 
 남산공원(한남) , 남산약수터 , 무릎펴서 걷기 ,1, 남산한남-3(남산약수터)-7 , 중부공원녹지사업소 
 남산공원(한남) , 남산약수터 , 하체 흔들기 ,1, 남산한남-3(남산약수터)-8 , 중부공원녹지사업소 
 남산공원(한남) , 남산약수터 , 철봉(2단) ,1, 남산한남-3(남산약수터)-9 , 중부공원녹지사업소 
 남산공원(한남) , 한강진게이트볼장 , 온몸 역기 밀기 ,1, 남산한남-4(게이트볼장)-1 , 중부공원녹지사업소 
 남산공원(한남) , 한강진게이트볼장 , 무릎펴서 걷기 ,1, 남산한남-4(게이트볼장)-2 , 중부공원녹지사업소 
 남산공원(한남) , 한강진게이트볼장 , 허리 돌리기 ,1, 남산한남-4(게이트볼장)-3 , 중부공원녹지사업소 
 남산공원(한남) , 한강진게이트볼장 , 파도타기 ,1, 남산한남-4(게이트볼장)-4 , 중부공원녹지사업소 
 남산공원(한남) , 한강진게이트볼장 , 윗몸 일으키기 ,1, 남산한남-4(게이트볼장)-5 , 중부공원녹지사업소 
 남산공원(한남) , 배수지위 , 허리 돌리기 ,1, 남산한남-5(배수지위)-1 , 중부공원녹지사업소 
 남산공원(한남) , 배수지위 , 등허리 지압기 ,1, 남산한남-5(배수지위)-2 , 중부공원녹지사업소 
 남산공원(한남) , 배수지위 , 시티드 체스트 프레스 ,1, 남산한남-5(배수지위)-3 , 중부공원녹지사업소 
 남산공원(한남) , 배수지위 , 버터 플라이 ,1, 남산한남-5(배수지위)-4 , 중부공원녹지사업소 
 남산공원(한남) , 배수지위 , 버터 플라이 ,1, 남산한남-5(배수지위)-5 , 중부공원녹지사업소 
 남산공원(한남) , 배수지위 , 어깨 근육풀기 ,1, 남산한남-5(배수지위)-6 , 중부공원녹지사업소 
 남산공원(한남) , 배수지위 , 매달려 건너기 ,1, 남산한남-5(배수지위)-7 , 중부공원녹지사업소 
 남산공원(한남) , 배수지위 , 스쿼드 ,1, 남산한남-5(배수지위)-8 , 중부공원녹지사업소 
 남산공원(한남) , 배수지위 , 업도미널 ,1, 남산한남-5(배수지위)-9 , 중부공원녹지사업소 
 남산공원(한남) , 배수지위 , 스탠딩 레그컬 ,1, 남산한남-5(배수지위)-10 , 중부공원녹지사업소 
 남산공원(한남) , 배수지위 , 레그 익스텐션 ,1, 남산한남-5(배수지위)-11 , 중부공원녹지사업소 
 남산공원(한남) , 배수지위 , 암컬 ,1, 남산한남-5(배수지위)-12 , 중부공원녹지사업소 
 남산공원(한남) , 배수지위 , 양팔 줄당기기 ,1, 남산한남-5(배수지위)-13 , 중부공원녹지사업소 
 남산공원(한남) , 배수지위 , 공중걷기 ,1, 남산한남-5(배수지위)-14 , 중부공원녹지사업소 
 남산공원(한남) , 배수지위 , 온몸 노젖기 ,1, 남산한남-5(배수지위)-15 , 중부공원녹지사업소 
 남산공원(한남) , 배수지위 , 등허리 젖히기 ,1, 남산한남-5(배수지위)-16 , 중부공원녹지사업소 
 남산공원(한남) , 배수지위 , 다리 근육풀기 ,1, 남산한남-5(배수지위)-17 , 중부공원녹지사업소 
 남산공원(한남) , 한강진 정자옆 , 온몸 역기 내리기 ,1, 남산한남-6(한강진정자옆)-1 , 중부공원녹지사업소 
 남산공원(한남) , 한강진 정자옆 , 온몸 허리 돌리기 ,1, 남산한남-6(한강진정자옆)-2 , 중부공원녹지사업소 
 남산공원(한남) , 한강진 정자옆 , 어깨근육 풀기 ,1, 남산한남-6(한강진정자옆)-3 , 중부공원녹지사업소 
 남산공원(한남) , 한강진 정자옆 ,  파도타기 ,1, 남산한남-6(한강진정자옆)-4 , 중부공원녹지사업소 
 남산공원(한남) , 한강진 정자옆 , 윗몸 일으키기 ,1, 남산한남-6(한강진정자옆)-5 , 중부공원녹지사업소 
 남산공원(장충) , 장충공원 놀이터옆 , 양팔줄당기기 ,1, 장충자락-1(장충놀이터옆)-1 , 중부공원녹지사업소 
 남산공원(장충) , 장충공원 놀이터옆 , 온몸노젓기 ,1, 장충자락-1(장충놀이터옆)-2 , 중부공원녹지사업소 
 남산공원(장충) , 장충공원 놀이터옆 , 등허리 지압기 ,1, 장충자락-1(장충놀이터옆)-3 , 중부공원녹지사업소 
 남산공원(장충) , 장충공원 놀이터옆 , 온몸역기올리기 ,1, 장충자락-1(장충놀이터옆)-4 , 중부공원녹지사업소 
 남산공원(장충) , 장충공원 놀이터옆 , 허리돌리기 ,1, 장충자락-1(장충놀이터옆)-5 , 중부공원녹지사업소 
 남산공원(장충) , 장충체육회 옆 , 온몸근육풀기 ,1, 장충자락-2(장충체육회)-1 , 중부공원녹지사업소 
 남산공원(장충) , 장충체육회 옆 , 바디싣업 ,1, 장충자락-2(장충체육회)-2 , 중부공원녹지사업소 
 남산공원(장충) , 장충체육회 옆 , 크로스컨트리 ,1, 장충자락-2(장충체육회)-3 , 중부공원녹지사업소 
 남산공원(장충) , 장충체육회 옆 , 체어웨이트 ,1, 장충자락-2(장충체육회)-4 , 중부공원녹지사업소 
 남산공원(장충) , 330계단 옆 , 오금펴기 ,1, 장충자락-3(303계단 옆)-1 , 중부공원녹지사업소 
 남산공원(장충) , 330계단 옆 , 철봉 ,1, 장충자락-3(303계단 옆)-2 , 중부공원녹지사업소 
 남산공원(장충) , 330계단 옆 , 파도타기 ,1, 장충자락-3(303계단 옆)-3 , 중부공원녹지사업소 
 남산공원(장충) , 330계단 옆 , 역기올리기 ,1, 장충자락-3(303계단 옆)-4 , 중부공원녹지사업소 
 남산공원(장충) , 330계단 옆 , 상체근육풀기 ,1, 장충자락-3(303계단 옆)-5 , 중부공원녹지사업소 
 남산공원(장충) , 330계단 옆 , 허리돌리기 ,1, 장충자락-3(303계단 옆)-6 , 중부공원녹지사업소 
 남산공원(장충) , 330계단 옆 , 공중걷기 ,1, 장충자락-3(303계단 옆)-7 , 중부공원녹지사업소 
 남산공원(장충) , 족구장 옆 , 역기 ,1, 장충자락-4(족구장 옆)-1 , 중부공원녹지사업소 
 남산공원(장충) , 족구장 옆 , 오금펴기 ,1, 장충자락-4(족구장 옆)-2 , 중부공원녹지사업소 
 남산공원(장충) , 족구장 옆 , 역기올리기 ,1, 장충자락-4(족구장 옆)-3 , 중부공원녹지사업소 
 남산공원(장충) , 족구장 옆 , 허리돌리기 ,1, 장충자락-4(족구장 옆)-4 , 중부공원녹지사업소 
 남산공원(장충) , 1호터널 옆 , 공중걷기 ,1, 장충자락-5(1호터널 옆)-1 , 중부공원녹지사업소 
 남산공원(장충) , 1호터널 옆 , 역기올리기 ,1, 장충자락-5(1호터널 옆)-2 , 중부공원녹지사업소 
 남산공원(장충) , 1호터널 옆 , 허리돌리기 ,1, 장충자락-5(1호터널 옆)-3 , 중부공원녹지사업소 
 낙산공원 , 중앙계단위 , 하체흔들기 ,1, 낙산공원-1(중앙계단 위)-1 , 중부공원녹지사업소 
 낙산공원 , 중앙계단위 , 온몸노젖기 ,1, 낙산공원-1(중앙계단 위)-2 , 중부공원녹지사업소 
 낙산공원 , 중앙계단위 , 어깨근육풀기 ,1, 낙산공원-1(중앙계단 위)-3 , 중부공원녹지사업소 
 낙산공원 , 중앙계단위 , 마라톤운동 ,1, 낙산공원-1(중앙계단 위)-4 , 중부공원녹지사업소 
 낙산공원 , 중앙계단위 , 매달려온몸회전하기 ,1, 낙산공원-1(중앙계단 위)-5 , 중부공원녹지사업소 
 낙산공원 , 중앙계단위 , 허리돌리기 ,1, 낙산공원-1(중앙계단 위)-6 , 중부공원녹지사업소 
 낙산공원 , 정상 암문 앞 , 하이폴리머신 ,1, 낙산공원-2(정상앞문 앞)-1 , 중부공원녹지사업소 
 낙산공원 , 정상 암문 앞 , 레그익스텐션 ,1, 낙산공원-2(정상앞문 앞)-2 , 중부공원녹지사업소 
 낙산공원 , 정상 암문 앞 , 버터플라이머신 ,1, 낙산공원-2(정상앞문 앞)-3 , 중부공원녹지사업소 
 낙산공원 , 정상 암문 앞 , 어깨근육풀기 ,1, 낙산공원-2(정상앞문 앞)-4 , 중부공원녹지사업소 
 낙산공원 , 정상 암문 앞 , 하늘걷기 ,1, 낙산공원-2(정상앞문 앞)-5 , 중부공원녹지사업소 
 낙산공원 , 정상 암문 앞 , 허리돌리기 ,1, 낙산공원-2(정상앞문 앞)-6 , 중부공원녹지사업소 
 낙산공원 , 제3광장 앞 , 옆파도타기 ,1, 낙산공원-3(제3광장 앞)-1 , 중부공원녹지사업소 
 낙산공원 , 제3광장 앞 , 달리기운동 ,1, 낙산공원-3(제3광장 앞)-2 , 중부공원녹지사업소 
 낙산공원 , 제3광장 앞 , 어깨근육풀기 ,1, 낙산공원-3(제3광장 앞)-3 , 중부공원녹지사업소 
 낙산공원 , 제3광장 앞 , 허리돌리기 ,1, 낙산공원-3(제3광장 앞)-4 , 중부공원녹지사업소 
 낙산공원 , 제3광장 앞 , 거꾸로매달리기 ,1, 낙산공원-3(제3광장 앞)-5 , 중부공원녹지사업소 
 낙산공원 , 제3광장 앞 , 마라톤운동 ,1, 낙산공원-3(제3광장 앞)-6 , 중부공원녹지사업소 
 낙산공원 , 제3광장 앞 , 온몸노젖기 ,1, 낙산공원-3(제3광장 앞)-7 , 중부공원녹지사업소 
 낙산공원 , 제3광장 앞 , 양팔중당기기 ,1, 낙산공원-3(제3광장 앞)-8 , 중부공원녹지사업소 
 낙산공원 , 제3광장 앞 , 온몸근육풀기 ,1, 낙산공원-3(제3광장 앞)-9 , 중부공원녹지사업소 
 낙산공원 , 제3광장 앞 , 매달려온몸회전하기 ,1, 낙산공원-3(제3광장 앞)-10 , 중부공원녹지사업소 
